"","TNF","IFNG","Donor","timepoint","quadrant"
"1",907.959716796875,286.536499023438,"D1","0h","TNF_single_producer"
"2",937.498840332031,451.235687255859,"D1","0h","TNF_single_producer"
"3",782.8759765625,655.859436035156,"D1","0h","TNF_single_producer"
"4",1179.58276367188,571.226745605469,"D1","0h","TNF_single_producer"
"5",675.013305664062,790.65283203125,"D1","0h","TNF_single_producer"
"6",873.201904296875,775.547546386719,"D1","0h","TNF_single_producer"
"7",642.32080078125,361.921325683594,"D1","0h","TNF_single_producer"
"8",763.635070800781,445.607543945312,"D1","0h","TNF_single_producer"
"9",815.88818359375,462.709808349609,"D1","0h","TNF_single_producer"
"10",719.219848632812,561.025634765625,"D1","0h","TNF_single_producer"
"11",950.50537109375,494.075408935547,"D1","0h","TNF_single_producer"
"12",3036.90649414062,385.864868164062,"D1","0h","TNF_single_producer"
"13",657.499877929688,133.328552246094,"D1","0h","TNF_single_producer"
"14",657.013610839844,370.435119628906,"D1","0h","TNF_single_producer"
"15",686.872253417969,507.176849365234,"D1","0h","TNF_single_producer"
"16",820.045959472656,713.189880371094,"D1","0h","TNF_single_producer"
"17",650.812866210938,699.83251953125,"D1","0h","TNF_single_producer"
"18",652.202270507812,343.545806884766,"D1","0h","TNF_single_producer"
"19",650.946350097656,531.577209472656,"D1","0h","TNF_single_producer"
"20",697.676452636719,440.900543212891,"D1","0h","TNF_single_producer"
"21",673.0205078125,148.081497192383,"D1","0h","TNF_single_producer"
"22",689.223693847656,335.214263916016,"D1","0h","TNF_single_producer"
"23",699.041687011719,355.309356689453,"D1","0h","TNF_single_producer"
"24",661.802429199219,371.969360351562,"D1","0h","TNF_single_producer"
"25",640.719604492188,626.765441894531,"D1","0h","TNF_single_producer"
"26",781.946594238281,505.576385498047,"D1","0h","TNF_single_producer"
"27",712.971801757812,423.971466064453,"D1","0h","TNF_single_producer"
"28",645.247192382812,418.029937744141,"D1","0h","TNF_single_producer"
"29",774.946044921875,396.672485351562,"D1","0h","TNF_single_producer"
"30",682.219482421875,548.323425292969,"D1","0h","TNF_single_producer"
"31",705.624084472656,393.629730224609,"D1","0h","TNF_single_producer"
"32",1150.3173828125,108.675964355469,"D1","0h","TNF_single_producer"
"33",619.30126953125,639.36962890625,"D1","0h","TNF_single_producer"
"34",638.939331054688,349.285797119141,"D1","0h","TNF_single_producer"
"35",642.860473632812,524.169982910156,"D1","0h","TNF_single_producer"
"36",668.15380859375,337.774017333984,"D1","0h","TNF_single_producer"
"37",657.328002929688,586.340087890625,"D1","0h","TNF_single_producer"
"38",659.39306640625,549.22900390625,"D1","0h","TNF_single_producer"
"39",639.298767089844,529.056274414062,"D1","0h","TNF_single_producer"
"40",800.489318847656,314.922821044922,"D1","0h","TNF_single_producer"
"41",872.400146484375,637.259765625,"D1","0h","TNF_single_producer"
"42",639.682006835938,478.732635498047,"D1","0h","TNF_single_producer"
"43",625.134094238281,574.984130859375,"D1","0h","TNF_single_producer"
"44",977.414489746094,869.503784179688,"D1","0h","TNF_single_producer"
"45",986.490539550781,768.920166015625,"D1","0h","TNF_single_producer"
"46",620.3076171875,236.042587280273,"D1","0h","TNF_single_producer"
"47",631.023986816406,328.071624755859,"D1","0h","TNF_single_producer"
"48",630.373474121094,235.95166015625,"D1","0h","TNF_single_producer"
"49",744.738708496094,483.760620117188,"D1","0h","TNF_single_producer"
"50",826.820190429688,375.836456298828,"D1","0h","TNF_single_producer"
"51",748.271850585938,553.164001464844,"D1","0h","TNF_single_producer"
"52",858.236328125,403.843780517578,"D1","0h","TNF_single_producer"
"53",647.586486816406,416.630615234375,"D1","0h","TNF_single_producer"
"54",682.451965332031,416.095123291016,"D1","0h","TNF_single_producer"
"55",619.347717285156,769.862731933594,"D1","0h","TNF_single_producer"
"56",660.265258789062,478.383453369141,"D1","0h","TNF_single_producer"
"57",613.070190429688,638.618591308594,"D1","0h","TNF_single_producer"
"58",691.950500488281,245.785888671875,"D1","0h","TNF_single_producer"
"59",869.002075195312,586.607177734375,"D1","0h","TNF_single_producer"
"60",630.245910644531,618.975158691406,"D1","0h","TNF_single_producer"
"61",912.651916503906,644.938781738281,"D1","0h","TNF_single_producer"
"62",679.349731445312,544.656311035156,"D1","0h","TNF_single_producer"
"63",1205.43151855469,792.373901367188,"D1","0h","TNF_single_producer"
"64",1559.94519042969,747.478332519531,"D1","0h","TNF_single_producer"
"65",695.644653320312,528.532897949219,"D1","0h","TNF_single_producer"
"66",810.130737304688,506.891998291016,"D1","0h","TNF_single_producer"
"67",834.618286132812,695.296447753906,"D1","0h","TNF_single_producer"
"68",643.286437988281,223.287139892578,"D1","0h","TNF_single_producer"
"69",728.435668945312,486.285522460938,"D1","0h","TNF_single_producer"
"70",1419.90673828125,565.022399902344,"D1","0h","TNF_single_producer"
"71",721.590637207031,631.9384765625,"D1","0h","TNF_single_producer"
"72",968.12158203125,403.199096679688,"D1","0h","TNF_single_producer"
"73",1131.86572265625,591.068542480469,"D2","0h","TNF_single_producer"
"74",631.069091796875,377.741516113281,"D2","0h","TNF_single_producer"
"75",643.885375976562,275.328765869141,"D2","0h","TNF_single_producer"
"76",1023.54028320312,419.111694335938,"D2","0h","TNF_single_producer"
"77",636.274291992188,364.816497802734,"D2","0h","TNF_single_producer"
"78",779.516174316406,270.894073486328,"D2","0h","TNF_single_producer"
"79",714.543395996094,271.746520996094,"D2","0h","TNF_single_producer"
"80",720.777404785156,198.737121582031,"D2","0h","TNF_single_producer"
"81",642.854797363281,490.375946044922,"D2","0h","TNF_single_producer"
"82",931.523498535156,358.437255859375,"D2","0h","TNF_single_producer"
"83",640.385192871094,397.820617675781,"D2","0h","TNF_single_producer"
"84",638.977966308594,317.304382324219,"D2","0h","TNF_single_producer"
"85",636.002380371094,286.400726318359,"D2","0h","TNF_single_producer"
"86",612.940551757812,624.904724121094,"D2","0h","TNF_single_producer"
"87",647.773193359375,427.754211425781,"D2","0h","TNF_single_producer"
"88",631.138305664062,614.407043457031,"D2","0h","TNF_single_producer"
"89",672.743713378906,577.644348144531,"D2","0h","TNF_single_producer"
"90",618.044006347656,472.988708496094,"D2","0h","TNF_single_producer"
"91",634.401245117188,328.747741699219,"D2","0h","TNF_single_producer"
"92",750.063659667969,156.217926025391,"D2","0h","TNF_single_producer"
"93",636.7783203125,333.64892578125,"D2","0h","TNF_single_producer"
"94",628.71484375,468.730346679688,"D2","0h","TNF_single_producer"
"95",717.054016113281,421.647247314453,"D2","0h","TNF_single_producer"
"96",693.790954589844,120.637046813965,"D2","0h","TNF_single_producer"
"97",647.153259277344,701.057373046875,"D2","0h","TNF_single_producer"
"98",678.233825683594,354.451049804688,"D2","0h","TNF_single_producer"
"99",643.058044433594,226.320663452148,"D2","0h","TNF_single_producer"
"100",657.348449707031,300.192047119141,"D2","0h","TNF_single_producer"
"101",661.742004394531,384.572052001953,"D2","0h","TNF_single_producer"
"102",702.534240722656,298.193328857422,"D2","0h","TNF_single_producer"
"103",652.993041992188,207.522262573242,"D2","0h","TNF_single_producer"
"104",659.797668457031,648.15771484375,"D2","0h","TNF_single_producer"
"105",678.694580078125,206.97331237793,"D2","0h","TNF_single_producer"
"106",713.811889648438,583.070495605469,"D2","0h","TNF_single_producer"
"107",842.548828125,255.963577270508,"D2","0h","TNF_single_producer"
"108",788.307006835938,192.160629272461,"D2","0h","TNF_single_producer"
"109",665.012878417969,289.501434326172,"D2","0h","TNF_single_producer"
"110",616.503112792969,524.761169433594,"D2","0h","TNF_single_producer"
"111",799.774841308594,353.895751953125,"D2","0h","TNF_single_producer"
"112",724.131958007812,457.709136962891,"D2","0h","TNF_single_producer"
"113",705.320983886719,700.386840820312,"D2","0h","TNF_single_producer"
"114",730.792358398438,443.346649169922,"D2","0h","TNF_single_producer"
"115",635.98388671875,228.4736328125,"D2","0h","TNF_single_producer"
"116",647.11572265625,438.146514892578,"D2","0h","TNF_single_producer"
"117",688.527404785156,441.394256591797,"D2","0h","TNF_single_producer"
"118",651.429809570312,490.665618896484,"D2","0h","TNF_single_producer"
"119",720.180297851562,432.771118164062,"D2","0h","TNF_single_producer"
"120",722.832580566406,241.967559814453,"D2","0h","TNF_single_producer"
"121",647.9755859375,482.338897705078,"D2","0h","TNF_single_producer"
"122",720.537292480469,407.246765136719,"D2","0h","TNF_single_producer"
"123",614.275207519531,295.4716796875,"D2","0h","TNF_single_producer"
"124",719.899780273438,823.74658203125,"D2","0h","TNF_single_producer"
"125",659.775939941406,489.901550292969,"D2","0h","TNF_single_producer"
"126",620.937622070312,453.514678955078,"D2","0h","TNF_single_producer"
"127",787.119201660156,512.440063476562,"D2","0h","TNF_single_producer"
"128",775.782470703125,567.868957519531,"D2","0h","TNF_single_producer"
"129",627.547180175781,629.932861328125,"D2","0h","TNF_single_producer"
"130",664.954284667969,351.150756835938,"D2","0h","TNF_single_producer"
"131",753.422973632812,238.419235229492,"D2","0h","TNF_single_producer"
"132",682.3017578125,739.716430664062,"D2","0h","TNF_single_producer"
"133",674.367553710938,335.406341552734,"D2","0h","TNF_single_producer"
"134",639.99609375,1077.90563964844,"D2","0h","TNF_single_producer"
"135",652.36181640625,932.632019042969,"D2","0h","TNF_single_producer"
"136",747.156799316406,371.019378662109,"D2","0h","TNF_single_producer"
"137",715.847717285156,618.161010742188,"D2","0h","TNF_single_producer"
"138",721.492309570312,630.578735351562,"D2","0h","TNF_single_producer"
"139",632.018798828125,309.078979492188,"D2","0h","TNF_single_producer"
"140",681.285827636719,288.302459716797,"D2","0h","TNF_single_producer"
"141",783.846740722656,273.084228515625,"D2","0h","TNF_single_producer"
"142",634.8564453125,408.903717041016,"D2","0h","TNF_single_producer"
"143",655.857299804688,675.978515625,"D2","0h","TNF_single_producer"
"144",750.603698730469,506.348022460938,"D2","0h","TNF_single_producer"
"145",692.828430175781,468.906799316406,"D2","0h","TNF_single_producer"
"146",619.869018554688,997.445922851562,"D2","0h","TNF_single_producer"
"147",727.814331054688,416.491485595703,"D2","0h","TNF_single_producer"
"148",758.131286621094,582.2138671875,"D2","0h","TNF_single_producer"
"149",745.998779296875,244.157287597656,"D2","0h","TNF_single_producer"
"150",726.985412597656,320.312530517578,"D2","0h","TNF_single_producer"
"151",631.0361328125,450.947906494141,"D2","0h","TNF_single_producer"
"152",635.736145019531,390.885375976562,"D2","0h","TNF_single_producer"
"153",722.526123046875,651.615295410156,"D2","0h","TNF_single_producer"
"154",639.935974121094,267.47412109375,"D2","0h","TNF_single_producer"
"155",776.052490234375,254.452407836914,"D2","0h","TNF_single_producer"
"156",940.018188476562,238.913833618164,"D2","0h","TNF_single_producer"
"157",730.314819335938,365.169158935547,"D2","0h","TNF_single_producer"
"158",672.178649902344,288.520385742188,"D2","0h","TNF_single_producer"
"159",934.498352050781,226.334121704102,"D2","0h","TNF_single_producer"
"160",846.094482421875,831.760620117188,"D2","0h","TNF_single_producer"
"161",639.685913085938,730.602478027344,"D2","0h","TNF_single_producer"
"162",704.085021972656,141.771240234375,"D2","0h","TNF_single_producer"
"163",648.201477050781,317.801300048828,"D2","0h","TNF_single_producer"
"164",704.398254394531,296.448028564453,"D2","0h","TNF_single_producer"
"165",682.078430175781,404.238739013672,"D2","0h","TNF_single_producer"
"166",764.481689453125,539.044067382812,"D2","0h","TNF_single_producer"
"167",636.480895996094,388.659606933594,"D2","0h","TNF_single_producer"
