"","donor","timepoint","percentage_mRNA_single_producer","percentage_mRNA_double_producer"
"1","D1","0",13.4883720930233,16.7441860465116
"2","D1","1",6.01503759398496,57.3934837092732
"3","D1","2",14.4099378881988,57.0186335403727
"4","D1","3",11.3924050632911,43.7974683544304
"5","D1","4",20.3125,38.125
"6","D1","6",5.25059665871122,49.2840095465394
"7","D2","0",15.6424581005587,13.1284916201117
"8","D2","1",9.75609756097561,69.9812382739212
"9","D2","2",25.7698541329011,53.8087520259319
"10","D2","3",1.42095914742451,3.90763765541741
"11","D2","4",22.972972972973,40.8108108108108
"12","D2","6",7.50528541226216,46.4059196617336
"13","D3","0",13.5802469135802,11.1111111111111
"14","D3","1",26.056338028169,53.6971830985916
"15","D3","2",23.0392156862745,39.4607843137255
"16","D3","3",10.8396946564885,49.4656488549618
"17","D3","4",18.4615384615385,60.3846153846154
"18","D3","6",6.43356643356643,61.3986013986014
