"","ID","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"3","D1_0HCD3CD28_01_Cell_CP_11_IFN","D1","0","IFN",2,0,2,0,0,0
"4","D1_0HCD3CD28_01_Cell_CP_11_TNF","D1","0","TNF",2,1,3,0,0,0
"5","D1_0HCD3CD28_01_Cell_CP_12_IFN","D1","0","IFN",2,0,2,0,0,0
"6","D1_0HCD3CD28_01_Cell_CP_12_TNF","D1","0","TNF",2,0,2,0,0,0
"8","D1_0HCD3CD28_01_Cell_CP_13_TNF","D1","0","TNF",1,0,1,0,0,0
"11","D1_0HCD3CD28_01_Cell_CP_15_IFN","D1","0","IFN",13,0,13,0,0,0
"12","D1_0HCD3CD28_01_Cell_CP_15_TNF","D1","0","TNF",4,0,4,0,0,0
"13","D1_0HCD3CD28_01_Cell_CP_16_IFN","D1","0","IFN",18,7,25,0,0,0
"15","D1_0HCD3CD28_01_Cell_CP_18_IFN","D1","0","IFN",1,0,1,0,0,0
"16","D1_0HCD3CD28_01_Cell_CP_18_TNF","D1","0","TNF",0,0,0,4,0,4
"17","D1_0HCD3CD28_01_Cell_CP_19_IFN","D1","0","IFN",1,0,1,0,0,0
"18","D1_0HCD3CD28_01_Cell_CP_19_TNF","D1","0","TNF",1,0,1,0,0,0
"22","D1_0HCD3CD28_01_Cell_CP_23_TNF","D1","0","TNF",1,1,2,0,0,0
"23","D1_0HCD3CD28_01_Cell_CP_24_IFN","D1","0","IFN",1,0,1,0,0,0
"24","D1_0HCD3CD28_01_Cell_CP_24_TNF","D1","0","TNF",1,0,1,0,0,0
"26","D1_0HCD3CD28_01_Cell_CP_25_TNF","D1","0","TNF",1,1,2,0,0,0
"27","D1_0HCD3CD28_01_Cell_CP_27_IFN","D1","0","IFN",1,0,1,0,0,0
"28","D1_0HCD3CD28_01_Cell_CP_27_TNF","D1","0","TNF",0,0,0,10,0,10
"31","D1_0HCD3CD28_01_Cell_CP_29_IFN","D1","0","IFN",1,0,1,0,0,0
"32","D1_0HCD3CD28_01_Cell_CP_29_TNF","D1","0","TNF",1,0,1,0,0,0
"34","D1_0HCD3CD28_01_Cell_CP_31_TNF","D1","0","TNF",1,1,2,0,0,0
"39","D1_0HCD3CD28_01_Cell_CP_34_IFN","D1","0","IFN",1,0,1,0,0,0
"40","D1_0HCD3CD28_01_Cell_CP_34_TNF","D1","0","TNF",5,0,5,0,0,0
"41","D1_0HCD3CD28_01_Cell_CP_35_IFN","D1","0","IFN",1,0,1,0,0,0
"42","D1_0HCD3CD28_01_Cell_CP_35_TNF","D1","0","TNF",1,1,2,0,0,0
"43","D1_0HCD3CD28_01_Cell_CP_36_IFN","D1","0","IFN",1,1,2,0,0,0
"48","D1_0HCD3CD28_01_Cell_CP_38_TNF","D1","0","TNF",2,0,2,0,0,0
"51","D1_0HCD3CD28_01_Cell_CP_42_IFN","D1","0","IFN",1,0,1,0,0,0
"53","D1_0HCD3CD28_01_Cell_CP_43_IFN","D1","0","IFN",2,0,2,0,0,0
"54","D1_0HCD3CD28_01_Cell_CP_43_TNF","D1","0","TNF",2,0,2,0,0,0
"55","D1_0HCD3CD28_01_Cell_CP_44_IFN","D1","0","IFN",1,0,1,0,0,0
"59","D1_0HCD3CD28_01_Cell_CP_46_IFN","D1","0","IFN",1,0,1,0,0,0
"60","D1_0HCD3CD28_01_Cell_CP_46_TNF","D1","0","TNF",1,0,1,0,0,0
"61","D1_0HCD3CD28_01_Cell_CP_47_IFN","D1","0","IFN",4,0,4,0,0,0
"65","D1_0HCD3CD28_01_Cell_CP_50_IFN","D1","0","IFN",1,0,1,0,0,0
"66","D1_0HCD3CD28_01_Cell_CP_50_TNF","D1","0","TNF",1,0,1,0,0,0
"67","D1_0HCD3CD28_01_Cell_CP_51_IFN","D1","0","IFN",1,0,1,0,0,0
"68","D1_0HCD3CD28_01_Cell_CP_51_TNF","D1","0","TNF",0,1,1,0,0,0
"71","D1_0HCD3CD28_01_Cell_CP_55_IFN","D1","0","IFN",1,0,1,0,0,0
"73","D1_0HCD3CD28_01_Cell_CP_57_IFN","D1","0","IFN",0,1,1,0,0,0
"74","D1_0HCD3CD28_01_Cell_CP_57_TNF","D1","0","TNF",0,1,1,0,0,0
"75","D1_0HCD3CD28_01_Cell_CP_58_IFN","D1","0","IFN",1,0,1,0,0,0
"79","D1_0HCD3CD28_01_Cell_CP_6_IFN","D1","0","IFN",1,0,1,0,0,0
"81","D1_0HCD3CD28_01_Cell_CP_60_IFN","D1","0","IFN",1,0,1,0,0,0
"85","D1_0HCD3CD28_01_Cell_CP_63_IFN","D1","0","IFN",2,0,2,0,0,0
"86","D1_0HCD3CD28_01_Cell_CP_63_TNF","D1","0","TNF",2,0,2,0,0,0
"87","D1_0HCD3CD28_01_Cell_CP_64_IFN","D1","0","IFN",1,0,1,0,0,0
"88","D1_0HCD3CD28_01_Cell_CP_64_TNF","D1","0","TNF",1,0,1,0,0,0
"89","D1_0HCD3CD28_01_Cell_CP_66_IFN","D1","0","IFN",1,0,1,0,0,0
"90","D1_0HCD3CD28_01_Cell_CP_66_TNF","D1","0","TNF",1,0,1,0,0,0
"93","D1_0HCD3CD28_01_Cell_CP_68_IFN","D1","0","IFN",2,0,2,0,0,0
"94","D1_0HCD3CD28_01_Cell_CP_68_TNF","D1","0","TNF",1,0,1,0,0,0
"95","D1_0HCD3CD28_01_Cell_CP_69_IFN","D1","0","IFN",1,0,1,0,0,0
"99","D1_0HCD3CD28_01_Cell_CP_72_IFN","D1","0","IFN",1,0,1,0,0,0
"105","D1_0HCD3CD28_01_Cell_CP_75_IFN","D1","0","IFN",1,0,1,0,0,0
"106","D1_0HCD3CD28_01_Cell_CP_75_TNF","D1","0","TNF",0,1,1,0,0,0
"110","D1_0HCD3CD28_01_Cell_CP_77_TNF","D1","0","TNF",1,0,1,0,0,0
"112","D1_0HCD3CD28_01_Cell_CP_79_TNF","D1","0","TNF",1,0,1,0,0,0
"115","D1_0HCD3CD28_01_Cell_CP_80_IFN","D1","0","IFN",2,0,2,0,0,0
"119","D1_0HCD3CD28_02_Cell_CP_10_IFN","D1","0","IFN",3,0,3,0,0,0
"123","D1_0HCD3CD28_02_Cell_CP_12_IFN","D1","0","IFN",2,1,3,0,0,0
"124","D1_0HCD3CD28_02_Cell_CP_12_TNF","D1","0","TNF",0,1,1,0,0,0
"127","D1_0HCD3CD28_02_Cell_CP_14_IFN","D1","0","IFN",0,1,1,0,0,0
"131","D1_0HCD3CD28_02_Cell_CP_16_IFN","D1","0","IFN",1,0,1,0,0,0
"132","D1_0HCD3CD28_02_Cell_CP_16_TNF","D1","0","TNF",0,1,1,0,0,0
"134","D1_0HCD3CD28_02_Cell_CP_17_TNF","D1","0","TNF",5,0,5,0,0,0
"137","D1_0HCD3CD28_02_Cell_CP_19_IFN","D1","0","IFN",1,0,1,0,0,0
"141","D1_0HCD3CD28_02_Cell_CP_21_IFN","D1","0","IFN",1,0,1,0,0,0
"145","D1_0HCD3CD28_02_Cell_CP_23_IFN","D1","0","IFN",0,2,2,0,0,0
"151","D1_0HCD3CD28_02_Cell_CP_26_IFN","D1","0","IFN",2,1,3,0,0,0
"152","D1_0HCD3CD28_02_Cell_CP_26_TNF","D1","0","TNF",2,0,2,0,0,0
"153","D1_0HCD3CD28_02_Cell_CP_27_IFN","D1","0","IFN",0,1,1,0,0,0
"154","D1_0HCD3CD28_02_Cell_CP_27_TNF","D1","0","TNF",0,2,2,0,0,0
"155","D1_0HCD3CD28_02_Cell_CP_28_IFN","D1","0","IFN",1,0,1,0,0,0
"156","D1_0HCD3CD28_02_Cell_CP_28_TNF","D1","0","TNF",2,1,3,0,0,0
