"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"1","D1_0HCD3CD28_01_Cell_CP_10_TNF",NA,NA
"2","D1_0HCD3CD28_01_Cell_CP_11_TNF",NA,NA
"3","D1_0HCD3CD28_01_Cell_CP_12_TNF",NA,NA
"4","D1_0HCD3CD28_01_Cell_CP_13_TNF",NA,NA
"5","D1_0HCD3CD28_01_Cell_CP_14_TNF",NA,NA
"6","D1_0HCD3CD28_01_Cell_CP_15_TNF",NA,NA
"7","D1_0HCD3CD28_01_Cell_CP_16_TNF",NA,NA
"8","D1_0HCD3CD28_01_Cell_CP_18_TNF",4,NA
"9","D1_0HCD3CD28_01_Cell_CP_19_TNF",NA,NA
"10","D1_0HCD3CD28_01_Cell_CP_20_TNF",NA,NA
"11","D1_0HCD3CD28_01_Cell_CP_23_TNF",NA,NA
"12","D1_0HCD3CD28_01_Cell_CP_24_TNF",NA,NA
"13","D1_0HCD3CD28_01_Cell_CP_25_TNF",NA,NA
"14","D1_0HCD3CD28_01_Cell_CP_27_TNF",10,NA
"15","D1_0HCD3CD28_01_Cell_CP_28_TNF",NA,NA
"16","D1_0HCD3CD28_01_Cell_CP_29_TNF",NA,NA
"17","D1_0HCD3CD28_01_Cell_CP_31_TNF",NA,NA
"18","D1_0HCD3CD28_01_Cell_CP_32_TNF",NA,NA
"19","D1_0HCD3CD28_01_Cell_CP_33_TNF",NA,NA
"20","D1_0HCD3CD28_01_Cell_CP_34_TNF",2,NA
"21","D1_0HCD3CD28_01_Cell_CP_35_TNF",NA,NA
"22","D1_0HCD3CD28_01_Cell_CP_36_TNF",NA,NA
"23","D1_0HCD3CD28_01_Cell_CP_37_TNF",NA,NA
"24","D1_0HCD3CD28_01_Cell_CP_38_TNF",NA,NA
"25","D1_0HCD3CD28_01_Cell_CP_39_TNF",NA,NA
"26","D1_0HCD3CD28_01_Cell_CP_42_TNF",NA,NA
"27","D1_0HCD3CD28_01_Cell_CP_43_TNF",NA,NA
"28","D1_0HCD3CD28_01_Cell_CP_44_TNF",NA,NA
"29","D1_0HCD3CD28_01_Cell_CP_45_TNF",NA,NA
"30","D1_0HCD3CD28_01_Cell_CP_46_TNF",NA,NA
"31","D1_0HCD3CD28_01_Cell_CP_47_TNF",NA,NA
"32","D1_0HCD3CD28_01_Cell_CP_5_TNF",NA,NA
"33","D1_0HCD3CD28_01_Cell_CP_50_TNF",NA,NA
"34","D1_0HCD3CD28_01_Cell_CP_51_TNF",NA,NA
"35","D1_0HCD3CD28_01_Cell_CP_52_TNF",NA,NA
"36","D1_0HCD3CD28_01_Cell_CP_55_TNF",NA,NA
"37","D1_0HCD3CD28_01_Cell_CP_57_TNF",NA,NA
"38","D1_0HCD3CD28_01_Cell_CP_58_TNF",NA,NA
"39","D1_0HCD3CD28_01_Cell_CP_59_TNF",NA,NA
"40","D1_0HCD3CD28_01_Cell_CP_6_TNF",NA,NA
"41","D1_0HCD3CD28_01_Cell_CP_60_TNF",NA,NA
"42","D1_0HCD3CD28_01_Cell_CP_62_TNF",NA,NA
"43","D1_0HCD3CD28_01_Cell_CP_63_TNF",NA,NA
"44","D1_0HCD3CD28_01_Cell_CP_64_TNF",NA,NA
"45","D1_0HCD3CD28_01_Cell_CP_66_TNF",NA,NA
"46","D1_0HCD3CD28_01_Cell_CP_67_TNF",NA,NA
"47","D1_0HCD3CD28_01_Cell_CP_68_TNF",NA,NA
"48","D1_0HCD3CD28_01_Cell_CP_69_TNF",NA,NA
"49","D1_0HCD3CD28_01_Cell_CP_71_TNF",NA,NA
"50","D1_0HCD3CD28_01_Cell_CP_72_TNF",NA,NA
"51","D1_0HCD3CD28_01_Cell_CP_73_TNF",NA,NA
