"","donor","timepoint","percentage_mRNA_single_producer","percentage_mRNA_double_producer"
"1","D1","0",19.0697674418605,16.7441860465116
"2","D1","1",29.5739348370927,57.3934837092732
"3","D1","2",16.6459627329193,57.0186335403727
"4","D1","3",30.379746835443,43.7974683544304
"5","D1","4",8.75,38.125
"6","D1","6",34.964200477327,49.2840095465394
"7","D2","0",21.2290502793296,13.1284916201117
"8","D2","1",16.1350844277674,69.9812382739212
"9","D2","2",7.13128038897893,53.8087520259319
"10","D2","3",1.9538188277087,6.57193605683837
"11","D2","4",20.2702702702703,40.8108108108108
"12","D2","6",33.0866807610994,46.4059196617336
"13","D3","0",25.5144032921811,11.1111111111111
"14","D3","1",4.04929577464789,53.6971830985916
"15","D3","2",21.5686274509804,39.4607843137255
"16","D3","3",27.7862595419847,49.4656488549618
"17","D3","4",10,60.3846153846154
"18","D3","6",24.7552447552448,61.3986013986014
