"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"1","D1ACTD_0H__01_Cell_CP_10_IFN","ACTD","D1","0","IFN",3,4,7,0,0,0
"2","D1ACTD_0H__01_Cell_CP_10_TNF","ACTD","D1","0","TNF",2,1,3,0,0,0
"3","D1ACTD_0H__01_Cell_CP_13_IFN","ACTD","D1","0","IFN",11,4,15,0,0,0
"4","D1ACTD_0H__01_Cell_CP_13_TNF","ACTD","D1","0","TNF",5,4,9,0,0,0
"5","D1ACTD_0H__01_Cell_CP_14_IFN","ACTD","D1","0","IFN",1,7,8,0,0,0
"6","D1ACTD_0H__01_Cell_CP_14_TNF","ACTD","D1","0","TNF",4,3,7,0,0,0
"7","D1ACTD_0H__01_Cell_CP_15_IFN","ACTD","D1","0","IFN",2,5,7,0,0,0
"8","D1ACTD_0H__01_Cell_CP_15_TNF","ACTD","D1","0","TNF",6,4,10,0,0,0
"9","D1ACTD_0H__01_Cell_CP_16_IFN","ACTD","D1","0","IFN",8,9,17,0,0,0
"10","D1ACTD_0H__01_Cell_CP_16_TNF","ACTD","D1","0","TNF",6,10,16,0,0,0
"11","D1ACTD_0H__01_Cell_CP_18_IFN","ACTD","D1","0","IFN",2,1,3,0,0,0
"12","D1ACTD_0H__01_Cell_CP_18_TNF","ACTD","D1","0","TNF",4,3,7,0,0,0
"13","D1ACTD_0H__01_Cell_CP_19_IFN","ACTD","D1","0","IFN",3,4,7,0,0,0
"14","D1ACTD_0H__01_Cell_CP_19_TNF","ACTD","D1","0","TNF",9,4,13,0,0,0
"15","D1ACTD_0H__01_Cell_CP_20_IFN","ACTD","D1","0","IFN",4,4,8,0,0,0
"16","D1ACTD_0H__01_Cell_CP_20_TNF","ACTD","D1","0","TNF",5,1,6,0,0,0
"17","D1ACTD_0H__01_Cell_CP_22_IFN","ACTD","D1","0","IFN",9,12,21,0,0,0
"18","D1ACTD_0H__01_Cell_CP_22_TNF","ACTD","D1","0","TNF",2,8,10,0,0,0
"19","D1ACTD_0H__01_Cell_CP_23_IFN","ACTD","D1","0","IFN",9,9,18,0,0,0
"20","D1ACTD_0H__01_Cell_CP_23_TNF","ACTD","D1","0","TNF",6,6,12,0,0,0
"21","D1ACTD_0H__01_Cell_CP_24_IFN","ACTD","D1","0","IFN",7,1,8,0,0,0
"22","D1ACTD_0H__01_Cell_CP_24_TNF","ACTD","D1","0","TNF",9,4,13,0,0,0
"23","D1ACTD_0H__01_Cell_CP_25_IFN","ACTD","D1","0","IFN",3,4,7,0,0,0
"24","D1ACTD_0H__01_Cell_CP_25_TNF","ACTD","D1","0","TNF",4,5,9,0,0,0
"25","D1ACTD_0H__01_Cell_CP_26_IFN","ACTD","D1","0","IFN",3,1,4,0,0,0
"26","D1ACTD_0H__01_Cell_CP_26_TNF","ACTD","D1","0","TNF",4,0,4,0,0,0
"27","D1ACTD_0H__01_Cell_CP_28_IFN","ACTD","D1","0","IFN",6,8,14,0,0,0
"28","D1ACTD_0H__01_Cell_CP_28_TNF","ACTD","D1","0","TNF",5,5,10,0,0,0
"29","D1ACTD_0H__01_Cell_CP_29_IFN","ACTD","D1","0","IFN",6,8,14,0,0,0
"30","D1ACTD_0H__01_Cell_CP_29_TNF","ACTD","D1","0","TNF",11,7,18,0,0,0
"31","D1ACTD_0H__01_Cell_CP_30_IFN","ACTD","D1","0","IFN",4,10,14,0,0,0
"32","D1ACTD_0H__01_Cell_CP_30_TNF","ACTD","D1","0","TNF",6,6,12,0,0,0
"33","D1ACTD_0H__01_Cell_CP_31_IFN","ACTD","D1","0","IFN",12,5,17,0,0,0
"34","D1ACTD_0H__01_Cell_CP_31_TNF","ACTD","D1","0","TNF",11,2,13,0,0,0
"35","D1ACTD_0H__01_Cell_CP_32_IFN","ACTD","D1","0","IFN",7,8,15,0,0,0
"36","D1ACTD_0H__01_Cell_CP_32_TNF","ACTD","D1","0","TNF",8,5,13,0,0,0
"37","D1ACTD_0H__01_Cell_CP_34_IFN","ACTD","D1","0","IFN",3,5,8,0,0,0
"38","D1ACTD_0H__01_Cell_CP_34_TNF","ACTD","D1","0","TNF",5,3,8,0,0,0
"39","D1ACTD_0H__01_Cell_CP_35_IFN","ACTD","D1","0","IFN",5,0,5,0,0,0
"40","D1ACTD_0H__01_Cell_CP_35_TNF","ACTD","D1","0","TNF",3,1,4,0,0,0
"41","D1ACTD_0H__01_Cell_CP_36_IFN","ACTD","D1","0","IFN",14,13,27,0,0,0
"42","D1ACTD_0H__01_Cell_CP_36_TNF","ACTD","D1","0","TNF",12,4,16,0,0,0
"43","D1ACTD_0H__01_Cell_CP_37_IFN","ACTD","D1","0","IFN",5,13,18,0,0,0
"44","D1ACTD_0H__01_Cell_CP_37_TNF","ACTD","D1","0","TNF",7,7,14,0,0,0
"45","D1ACTD_0H__01_Cell_CP_38_IFN","ACTD","D1","0","IFN",10,6,16,0,0,0
"46","D1ACTD_0H__01_Cell_CP_38_TNF","ACTD","D1","0","TNF",4,10,14,0,0,0
"47","D1ACTD_0H__01_Cell_CP_39_IFN","ACTD","D1","0","IFN",2,7,9,0,0,0
"48","D1ACTD_0H__01_Cell_CP_39_TNF","ACTD","D1","0","TNF",4,7,11,0,0,0
"49","D1ACTD_0H__01_Cell_CP_40_IFN","ACTD","D1","0","IFN",5,5,10,0,0,0
"50","D1ACTD_0H__01_Cell_CP_40_TNF","ACTD","D1","0","TNF",7,4,11,0,0,0
"51","D1ACTD_0H__01_Cell_CP_41_IFN","ACTD","D1","0","IFN",3,4,7,0,0,0
"52","D1ACTD_0H__01_Cell_CP_41_TNF","ACTD","D1","0","TNF",3,7,10,0,0,0
"53","D1ACTD_0H__01_Cell_CP_42_IFN","ACTD","D1","0","IFN",4,6,10,0,0,0
"54","D1ACTD_0H__01_Cell_CP_42_TNF","ACTD","D1","0","TNF",4,3,7,0,0,0
"55","D1ACTD_0H__01_Cell_CP_44_IFN","ACTD","D1","0","IFN",2,8,10,0,0,0
"56","D1ACTD_0H__01_Cell_CP_44_TNF","ACTD","D1","0","TNF",8,1,9,0,0,0
"57","D1ACTD_0H__01_Cell_CP_45_IFN","ACTD","D1","0","IFN",1,0,1,0,0,0
"59","D1ACTD_0H__01_Cell_CP_46_IFN","ACTD","D1","0","IFN",15,21,36,0,0,0
"60","D1ACTD_0H__01_Cell_CP_46_TNF","ACTD","D1","0","TNF",14,10,24,0,0,0
"61","D1ACTD_0H__01_Cell_CP_47_IFN","ACTD","D1","0","IFN",5,14,19,0,0,0
"62","D1ACTD_0H__01_Cell_CP_47_TNF","ACTD","D1","0","TNF",0,7,7,0,0,0
"63","D1ACTD_0H__01_Cell_CP_48_IFN","ACTD","D1","0","IFN",4,1,5,0,0,0
"64","D1ACTD_0H__01_Cell_CP_48_TNF","ACTD","D1","0","TNF",0,1,1,0,0,0
"65","D1ACTD_0H__01_Cell_CP_49_IFN","ACTD","D1","0","IFN",15,7,22,0,0,0
"66","D1ACTD_0H__01_Cell_CP_49_TNF","ACTD","D1","0","TNF",11,8,19,0,0,0
"67","D1ACTD_0H__01_Cell_CP_50_IFN","ACTD","D1","0","IFN",9,11,20,0,0,0
"68","D1ACTD_0H__01_Cell_CP_50_TNF","ACTD","D1","0","TNF",8,8,16,0,0,0
"69","D1ACTD_0H__01_Cell_CP_51_IFN","ACTD","D1","0","IFN",13,18,31,0,0,0
"70","D1ACTD_0H__01_Cell_CP_51_TNF","ACTD","D1","0","TNF",7,14,21,0,0,0
