"","IFNG","TNF","Donor","timepoint","quadrant","NA"
"1","1594.23266601562","526.656921386719","D1","0h","double_producer","KO"
"2","1596.5478515625","1251.83056640625","D1","0h","double_producer","KO"
"3","12472.2294921875","998.276611328125","D1","0h","double_producer","KO"
"4","1606.99462890625","506.686828613281","D1","0h","double_producer","KO"
"5","1664.44311523438","478.902709960938","D1","0h","double_producer","KO"
"6","2257.48193359375","21970.400390625","D1","1h","double_producer","KO"
"7","2856.58081054688","6484.02587890625","D1","1h","double_producer","KO"
"8","4022.17309570312","8568.8583984375","D1","1h","double_producer","KO"
"9","2525.55200195312","13255.9794921875","D1","1h","double_producer","KO"
"10","2661.998046875","25021.111328125","D1","1h","double_producer","KO"
"11","2729.13696289062","2988.02978515625","D1","1h","double_producer","KO"
"12","4588.60009765625","9254.251953125","D1","1h","double_producer","KO"
"13","1844.68920898438","639.774230957031","D1","1h","double_producer","KO"
"14","2937.64575195312","15355.1923828125","D1","1h","double_producer","KO"
"15","2444.52001953125","3286.14038085938","D1","1h","double_producer","KO"
"16","6578.52294921875","23586.7890625","D1","1h","double_producer","KO"
"17","3428.98217773438","33135.45703125","D1","1h","double_producer","KO"
"18","3390.4423828125","7405.65576171875","D1","1h","double_producer","KO"
"19","2550.38159179688","28117.470703125","D1","1h","double_producer","KO"
"20","6116.24755859375","10568.2294921875","D1","1h","double_producer","KO"
"21","1652.66271972656","3375.05981445312","D1","1h","double_producer","KO"
"22","5466.49365234375","11797.5859375","D1","1h","double_producer","KO"
"23","4954.3134765625","6851.21875","D1","1h","double_producer","KO"
"24","2193.54565429688","39726.7265625","D1","1h","double_producer","KO"
"25","2675.39916992188","29098.2109375","D1","1h","double_producer","KO"
"26","6951.9189453125","16394.923828125","D1","1h","double_producer","KO"
"27","1982.86218261719","6550.72802734375","D1","1h","double_producer","KO"
"28","2543.84765625","2359.55712890625","D1","1h","double_producer","KO"
"29","1758.27941894531","1887.05480957031","D1","1h","double_producer","KO"
"30","2556.466796875","5668.814453125","D1","1h","double_producer","KO"
"31","2859.10229492188","8860.3388671875","D1","1h","double_producer","KO"
"32","1781.34729003906","9935.5283203125","D1","1h","double_producer","KO"
"33","4649.34375","3442.53588867188","D1","1h","double_producer","KO"
"34","2795.12890625","3399.87084960938","D1","1h","double_producer","KO"
"35","3255.60205078125","7717.4892578125","D1","1h","double_producer","KO"
"36","2177.29614257812","15563.859375","D1","1h","double_producer","KO"
"37","1981.42797851562","15694.9755859375","D1","1h","double_producer","KO"
"38","4152.76025390625","16632.896484375","D1","1h","double_producer","KO"
"39","1762.34045410156","4975.48291015625","D1","1h","double_producer","KO"
"40","2851.69116210938","1592.97448730469","D1","1h","double_producer","KO"
"41","2004.84313964844","4302.87939453125","D1","1h","double_producer","KO"
"42","2762.28930664062","9187.6669921875","D1","1h","double_producer","KO"
"43","3796.84301757812","21277.353515625","D1","1h","double_producer","KO"
"44","2703.05200195312","15502.3203125","D1","1h","double_producer","KO"
"45","2692.53735351562","11940.27734375","D1","1h","double_producer","KO"
"46","2429.55737304688","8150.79345703125","D1","1h","double_producer","KO"
"47","1604.59912109375","8150.97021484375","D1","1h","double_producer","KO"
"48","2373.71362304688","2108.572265625","D1","1h","double_producer","KO"
"49","2618.86376953125","15464.98046875","D1","1h","double_producer","KO"
"50","2170.30981445312","2030.681640625","D1","1h","double_producer","KO"
"51","2579.28295898438","901.44384765625","D1","1h","double_producer","KO"
"52","2641.95922851562","10978.115234375","D1","1h","double_producer","KO"
"53","2495.36669921875","5382.59375","D1","1h","double_producer","KO"
"54","2580.99145507812","16606.607421875","D1","1h","double_producer","KO"
"55","1666.80017089844","13437.7705078125","D1","1h","double_producer","KO"
"56","1817.18627929688","9476.849609375","D1","1h","double_producer","KO"
"57","1799.86047363281","2728.31396484375","D1","1h","double_producer","KO"
"58","1953.8837890625","7017.47216796875","D1","1h","double_producer","KO"
"59","2463.71655273438","16237.4130859375","D1","1h","double_producer","KO"
"60","2337.9462890625","2181.01147460938","D1","1h","double_producer","KO"
"61","1917.6708984375","12123.75390625","D1","1h","double_producer","KO"
"62","3936.28076171875","23082.92578125","D1","1h","double_producer","KO"
"63","2656.79125976562","3630.78515625","D1","1h","double_producer","KO"
"64","2852.09008789062","13083.12109375","D1","1h","double_producer","KO"
"65","1678.10705566406","3459.095703125","D1","1h","double_producer","KO"
"66","3731.818359375","7914.0458984375","D1","1h","double_producer","KO"
"67","1829.28173828125","4393.33740234375","D1","1h","double_producer","KO"
"68","1913.90795898438","27914.8671875","D1","1h","double_producer","KO"
"69","1828.83679199219","4278.31494140625","D1","1h","double_producer","KO"
"70","3541.00366210938","14595.7255859375","D1","1h","double_producer","KO"
"71","2509.99194335938","14759.7109375","D1","1h","double_producer","KO"
"72","1709.85241699219","8043.82958984375","D1","1h","double_producer","KO"
"73","5299.10400390625","27908.19140625","D1","1h","double_producer","KO"
"74","2249.42797851562","2469.72216796875","D1","1h","double_producer","KO"
