"","IFNG","TNF","Donor","timepoint","quadrant","condition"
"1","540.767944335938","577.073486328125","D1","0h","TNF_single_producer","KO"
"2","919.668640136719","488.999633789062","D1","0h","TNF_single_producer","KO"
"3","846.916442871094","2401.33203125","D1","0h","TNF_single_producer","KO"
"4","314.798583984375","488.969848632812","D1","0h","TNF_single_producer","KO"
"5","1510.70886230469","848.731750488281","D1","0h","TNF_single_producer","KO"
"6","1175.10534667969","950.256225585938","D1","0h","TNF_single_producer","KO"
"7","951.293823242188","597.014953613281","D1","0h","TNF_single_producer","KO"
"8","823.315856933594","736.386047363281","D1","0h","TNF_single_producer","KO"
"9","1223.58776855469","2715.67114257812","D1","0h","TNF_single_producer","KO"
"10","566.924682617188","1151.98498535156","D1","0h","TNF_single_producer","KO"
"11","1133.57861328125","2738.52172851562","D1","0h","TNF_single_producer","KO"
"12","772.364440917969","1913.15551757812","D1","0h","TNF_single_producer","KO"
"13","980.512512207031","2890.66650390625","D1","0h","TNF_single_producer","KO"
"14","1370.42639160156","3640.98168945312","D1","0h","TNF_single_producer","KO"
"15","1045.08337402344","550.243347167969","D1","0h","TNF_single_producer","KO"
"16","639.513427734375","582.3095703125","D1","0h","TNF_single_producer","KO"
"17","1021.72662353516","684.809020996094","D1","0h","TNF_single_producer","KO"
"18","1022.61676025391","806.832153320312","D1","0h","TNF_single_producer","KO"
"19","878.772094726562","506.932525634766","D1","0h","TNF_single_producer","KO"
"20","644.882507324219","2357.67065429688","D1","0h","TNF_single_producer","KO"
"21","725.690246582031","1034.31628417969","D1","0h","TNF_single_producer","KO"
"22","1057.14404296875","562.526428222656","D1","0h","TNF_single_producer","KO"
"23","1326.32348632812","531.578857421875","D1","0h","TNF_single_producer","KO"
"24","938.628479003906","645.698974609375","D1","0h","TNF_single_producer","KO"
"25","1099.79724121094","2401.63818359375","D1","0h","TNF_single_producer","KO"
"26","1200.84509277344","615.066467285156","D1","0h","TNF_single_producer","KO"
"27","665.919250488281","788.328186035156","D1","0h","TNF_single_producer","KO"
"28","1073.93920898438","540.020568847656","D1","0h","TNF_single_producer","KO"
"29","1330.0107421875","646.288391113281","D1","0h","TNF_single_producer","KO"
"30","1178.82641601562","2246.345703125","D1","0h","TNF_single_producer","KO"
"31","643.616088867188","6779.34423828125","D1","1h","TNF_single_producer","KO"
"32","1206.98486328125","2051.56982421875","D1","1h","TNF_single_producer","KO"
"33","1254.3828125","1381.48828125","D1","1h","TNF_single_producer","KO"
"34","1234.97143554688","5467.75439453125","D1","1h","TNF_single_producer","KO"
"35","631.012756347656","1693.5","D1","1h","TNF_single_producer","KO"
"36","1086.50769042969","522.751281738281","D1","1h","TNF_single_producer","KO"
"37","1356.93701171875","5102.640625","D1","1h","TNF_single_producer","KO"
"38","1050.4296875","3177.60180664062","D1","1h","TNF_single_producer","KO"
"39","836.227722167969","2474.74389648438","D1","1h","TNF_single_producer","KO"
"40","612.8896484375","1014.46148681641","D1","1h","TNF_single_producer","KO"
"41","778.817565917969","24938.5859375","D1","1h","TNF_single_producer","KO"
"42","1239.82702636719","2768.34692382812","D1","1h","TNF_single_producer","KO"
"43","1427.70874023438","3538.4375","D1","1h","TNF_single_producer","KO"
"44","1368.14050292969","7470.712890625","D1","1h","TNF_single_producer","KO"
