"","donor","timepoint","sample","percentage_producing","percentage_producing_nucleus","percentage_producing_cytoplasm","percentage_producing_nucleus_only","percentage_producing_cytoplasm_only","percentage_producing_cytoplasm_nucleus","percentage_producing_nascent_1_TS","percentage_producing_nascent_2_TSs"
"1","D1","0","Control",64.0394088669951,30.6650246305419,54.8029556650246,9.23645320197044,33.3743842364532,21.4285714285714,8.2512315270936,1.97044334975369
"2","D1","1","Control",49.792531120332,39.1424619640387,47.8561549100968,1.93637621023513,10.6500691562932,37.2060857538036,4.70262793914246,1.93637621023513
"3","D1","2","Control",56.508875739645,50.2958579881657,47.9289940828402,8.57988165680473,6.21301775147929,41.7159763313609,2.36686390532544,5.02958579881657
"4","D1","3","Control",52.9220779220779,25.6493506493506,48.8636363636364,4.05844155844156,27.2727272727273,21.5909090909091,1.62337662337662,1.46103896103896
"5","D1","4","Control",61.0497237569061,43.9226519337017,52.2099447513812,8.83977900552486,17.1270718232044,35.0828729281768,1.38121546961326,2.20994475138122
"9","D2","2","Control",73.7704918032787,66.0421545667447,69.3208430913349,4.44964871194379,7.72833723653396,61.5925058548009,9.60187353629976,13.3489461358314
"13","D3","0","Control",31.5950920245399,14.519427402863,27.7096114519427,3.88548057259714,17.0756646216769,10.6339468302658,2.76073619631902,0.613496932515337
"14","D3","1","Control",29.1853178155774,18.2632050134288,25.6938227394808,3.49149507609669,10.9221128021486,14.7717099373321,2.6857654431513,0.716204118173679
"17","D3","4","Control",25.3753753753754,16.8168168168168,21.021021021021,4.35435435435435,8.55855855855856,12.4624624624625,0.900900900900901,0.45045045045045
"19","D1","0","HuRKO",89.5424836601307,66.2931839402428,86.8347338935574,2.7077497665733,23.249299719888,63.5854341736695,4.66853408029879,0.560224089635854
"20","D1","1","HuRKO",73.1034482758621,50.6206896551724,70.0689655172414,3.03448275862069,22.4827586206897,47.5862068965517,5.93103448275862,3.31034482758621
"21","D1","2","HuRKO",45.9665144596651,34.3987823439878,43.8356164383562,2.13089802130898,11.5677321156773,32.2678843226788,3.80517503805175,2.58751902587519
"22","D1","3","HuRKO",88.2488479262673,70.1612903225807,85.8294930875576,2.41935483870968,18.0875576036866,67.741935483871,0.921658986175115,1.84331797235023
"25","D2","0","HuRKO",83.1978319783198,44.8509485094851,81.8428184281843,1.3550135501355,38.3468834688347,43.4959349593496,0.5420054200542,0.13550135501355
"26","D2","1","HuRKO",91.8604651162791,64.3895348837209,89.9709302325581,1.88953488372093,27.4709302325581,62.5,4.21511627906977,4.21511627906977
"27","D2","2","HuRKO",59.1616766467066,29.3413173652695,58.3233532934132,0.838323353293413,29.8203592814371,28.502994011976,5.50898203592814,2.27544910179641
"28","D2","3","HuRKO",90.4679376083189,62.0450606585789,89.6013864818024,0.866551126516464,28.42287694974,61.1785095320624,1.90641247833622,1.73310225303293
"29","D2","4","HuRKO",32.3008849557522,19.6902654867257,28.5398230088496,3.76106194690266,12.6106194690265,15.929203539823,0.663716814159292,0
"32","D3","1","HuRKO",65.3731343283582,57.7611940298507,61.4925373134328,3.88059701492537,7.61194029850746,53.8805970149254,11.6417910447761,5.22388059701492
"33","D3","2","HuRKO",69.3262411347518,59.5744680851064,67.7304964539007,1.59574468085106,9.75177304964539,57.9787234042553,9.57446808510638,7.80141843971631
"34","D3","3","HuRKO",81.619937694704,66.9781931464174,77.5700934579439,4.04984423676012,14.6417445482866,62.9283489096573,3.11526479750779,3.42679127725857
"35","D3","4","HuRKO",21.5538847117794,15.5388471177945,14.7869674185464,6.76691729323308,6.01503759398496,8.7719298245614,4.26065162907268,0.75187969924812
