"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"1","D1C_0H_01_Cell_CP_10_IFN","C","D1","0","IFN",1,0,1,0,0,0
"2","D1C_0H_01_Cell_CP_10_TNF","C","D1","0","TNF",1,1,2,0,0,0
"3","D1C_0H_01_Cell_CP_100_IFN","C","D1","0","IFN",1,1,2,7,0,7
"4","D1C_0H_01_Cell_CP_100_TNF","C","D1","0","TNF",2,1,3,0,0,0
"7","D1C_0H_01_Cell_CP_103_IFN","C","D1","0","IFN",1,1,2,0,0,0
"8","D1C_0H_01_Cell_CP_103_TNF","C","D1","0","TNF",0,2,2,0,0,0
"12","D1C_0H_01_Cell_CP_105_TNF","C","D1","0","TNF",0,1,1,0,0,0
"16","D1C_0H_01_Cell_CP_107_TNF","C","D1","0","TNF",2,2,4,0,0,0
"18","D1C_0H_01_Cell_CP_108_TNF","C","D1","0","TNF",0,3,3,0,0,0
"20","D1C_0H_01_Cell_CP_109_TNF","C","D1","0","TNF",0,1,1,0,0,0
"21","D1C_0H_01_Cell_CP_11_IFN","C","D1","0","IFN",0,1,1,0,0,0
"22","D1C_0H_01_Cell_CP_11_TNF","C","D1","0","TNF",1,4,5,0,0,0
"24","D1C_0H_01_Cell_CP_110_TNF","C","D1","0","TNF",1,1,2,0,0,0
"26","D1C_0H_01_Cell_CP_111_TNF","C","D1","0","TNF",1,2,3,0,0,0
"29","D1C_0H_01_Cell_CP_113_IFN","C","D1","0","IFN",2,2,4,0,0,0
"30","D1C_0H_01_Cell_CP_113_TNF","C","D1","0","TNF",1,5,6,0,0,0
"31","D1C_0H_01_Cell_CP_114_IFN","C","D1","0","IFN",6,1,7,4,0,4
"32","D1C_0H_01_Cell_CP_114_TNF","C","D1","0","TNF",2,3,5,0,0,0
"34","D1C_0H_01_Cell_CP_115_TNF","C","D1","0","TNF",1,3,4,0,0,0
"36","D1C_0H_01_Cell_CP_116_TNF","C","D1","0","TNF",1,3,4,0,0,0
"40","D1C_0H_01_Cell_CP_118_TNF","C","D1","0","TNF",3,6,9,9,0,9
"43","D1C_0H_01_Cell_CP_120_IFN","C","D1","0","IFN",0,1,1,0,0,0
"44","D1C_0H_01_Cell_CP_120_TNF","C","D1","0","TNF",0,3,3,0,0,0
"45","D1C_0H_01_Cell_CP_121_IFN","C","D1","0","IFN",3,0,3,0,0,0
"46","D1C_0H_01_Cell_CP_121_TNF","C","D1","0","TNF",5,8,13,0,0,0
"47","D1C_0H_01_Cell_CP_123_IFN","C","D1","0","IFN",0,4,4,0,0,0
"48","D1C_0H_01_Cell_CP_123_TNF","C","D1","0","TNF",0,1,1,0,0,0
"49","D1C_0H_01_Cell_CP_124_IFN","C","D1","0","IFN",0,0,0,6,0,6
"51","D1C_0H_01_Cell_CP_125_IFN","C","D1","0","IFN",1,1,2,0,0,0
"52","D1C_0H_01_Cell_CP_125_TNF","C","D1","0","TNF",0,1,1,0,0,0
"53","D1C_0H_01_Cell_CP_126_IFN","C","D1","0","IFN",1,0,1,0,0,0
"54","D1C_0H_01_Cell_CP_126_TNF","C","D1","0","TNF",1,1,2,0,0,0
"56","D1C_0H_01_Cell_CP_127_TNF","C","D1","0","TNF",0,1,1,0,0,0
"59","D1C_0H_01_Cell_CP_129_IFN","C","D1","0","IFN",0,0,0,7,0,7
"60","D1C_0H_01_Cell_CP_129_TNF","C","D1","0","TNF",1,3,4,0,0,0
"65","D1C_0H_01_Cell_CP_131_IFN","C","D1","0","IFN",0,0,0,4,0,4
"68","D1C_0H_01_Cell_CP_132_TNF","C","D1","0","TNF",2,1,3,0,0,0
"75","D1C_0H_01_Cell_CP_136_IFN","C","D1","0","IFN",0,1,1,4,0,4
"76","D1C_0H_01_Cell_CP_136_TNF","C","D1","0","TNF",1,3,4,0,0,0
"77","D1C_0H_01_Cell_CP_16_IFN","C","D1","0","IFN",2,0,2,0,0,0
"78","D1C_0H_01_Cell_CP_16_TNF","C","D1","0","TNF",0,1,1,0,0,0
"85","D1C_0H_01_Cell_CP_20_IFN","C","D1","0","IFN",2,0,2,0,0,0
"86","D1C_0H_01_Cell_CP_20_TNF","C","D1","0","TNF",1,3,4,0,0,0
"88","D1C_0H_01_Cell_CP_21_TNF","C","D1","0","TNF",1,3,4,0,0,0
"90","D1C_0H_01_Cell_CP_22_TNF","C","D1","0","TNF",1,1,2,0,0,0
"92","D1C_0H_01_Cell_CP_23_TNF","C","D1","0","TNF",1,1,2,0,0,0
"94","D1C_0H_01_Cell_CP_24_TNF","C","D1","0","TNF",2,1,3,0,0,0
"98","D1C_0H_01_Cell_CP_26_TNF","C","D1","0","TNF",0,2,2,0,0,0
"104","D1C_0H_01_Cell_CP_29_TNF","C","D1","0","TNF",0,1,1,0,0,0
"105","D1C_0H_01_Cell_CP_30_IFN","C","D1","0","IFN",3,5,8,0,0,0
"106","D1C_0H_01_Cell_CP_30_TNF","C","D1","0","TNF",3,7,10,0,0,0
"107","D1C_0H_01_Cell_CP_31_IFN","C","D1","0","IFN",0,1,1,0,0,0
"108","D1C_0H_01_Cell_CP_31_TNF","C","D1","0","TNF",1,5,6,0,0,0
"111","D1C_0H_01_Cell_CP_33_IFN","C","D1","0","IFN",0,2,2,0,0,0
"112","D1C_0H_01_Cell_CP_33_TNF","C","D1","0","TNF",2,9,11,0,0,0
"114","D1C_0H_01_Cell_CP_34_TNF","C","D1","0","TNF",0,2,2,0,0,0
"117","D1C_0H_01_Cell_CP_36_IFN","C","D1","0","IFN",3,0,3,0,0,0
"118","D1C_0H_01_Cell_CP_36_TNF","C","D1","0","TNF",2,2,4,0,0,0
"124","D1C_0H_01_Cell_CP_41_TNF","C","D1","0","TNF",3,1,4,0,0,0
"126","D1C_0H_01_Cell_CP_42_TNF","C","D1","0","TNF",3,9,12,0,0,0
"130","D1C_0H_01_Cell_CP_44_TNF","C","D1","0","TNF",1,1,2,0,0,0
"132","D1C_0H_01_Cell_CP_45_TNF","C","D1","0","TNF",0,2,2,0,0,0
"134","D1C_0H_01_Cell_CP_46_TNF","C","D1","0","TNF",2,0,2,0,0,0
"135","D1C_0H_01_Cell_CP_47_IFN","C","D1","0","IFN",1,0,1,3,0,3
"136","D1C_0H_01_Cell_CP_47_TNF","C","D1","0","TNF",0,5,5,0,0,0
"138","D1C_0H_01_Cell_CP_48_TNF","C","D1","0","TNF",2,3,5,0,0,0
"139","D1C_0H_01_Cell_CP_50_IFN","C","D1","0","IFN",1,0,1,3,0,3
"140","D1C_0H_01_Cell_CP_50_TNF","C","D1","0","TNF",3,3,6,0,0,0
"141","D1C_0H_01_Cell_CP_51_IFN","C","D1","0","IFN",1,2,3,0,0,0
"142","D1C_0H_01_Cell_CP_51_TNF","C","D1","0","TNF",2,1,3,0,0,0
"144","D1C_0H_01_Cell_CP_52_TNF","C","D1","0","TNF",1,1,2,0,0,0
"148","D1C_0H_01_Cell_CP_54_TNF","C","D1","0","TNF",3,6,9,0,0,0
"149","D1C_0H_01_Cell_CP_55_IFN","C","D1","0","IFN",1,2,3,4,3,7
"150","D1C_0H_01_Cell_CP_55_TNF","C","D1","0","TNF",2,1,3,0,0,0
"154","D1C_0H_01_Cell_CP_57_TNF","C","D1","0","TNF",1,4,5,0,0,0
"156","D1C_0H_01_Cell_CP_58_TNF","C","D1","0","TNF",1,4,5,0,0,0
"158","D1C_0H_01_Cell_CP_59_TNF","C","D1","0","TNF",1,3,4,0,0,0
"161","D1C_0H_01_Cell_CP_60_IFN","C","D1","0","IFN",1,0,1,0,0,0
"162","D1C_0H_01_Cell_CP_60_TNF","C","D1","0","TNF",0,2,2,0,0,0
"164","D1C_0H_01_Cell_CP_61_TNF","C","D1","0","TNF",0,1,1,0,0,0
"165","D1C_0H_01_Cell_CP_63_IFN","C","D1","0","IFN",0,2,2,6,0,6
"166","D1C_0H_01_Cell_CP_63_TNF","C","D1","0","TNF",1,0,1,0,0,0
"167","D1C_0H_01_Cell_CP_64_IFN","C","D1","0","IFN",0,1,1,0,0,0
"168","D1C_0H_01_Cell_CP_64_TNF","C","D1","0","TNF",1,4,5,0,0,0
"169","D1C_0H_01_Cell_CP_65_IFN","C","D1","0","IFN",1,0,1,0,0,0
"172","D1C_0H_01_Cell_CP_66_TNF","C","D1","0","TNF",1,5,6,0,0,0
"174","D1C_0H_01_Cell_CP_67_TNF","C","D1","0","TNF",0,2,2,0,0,0
"176","D1C_0H_01_Cell_CP_68_TNF","C","D1","0","TNF",3,6,9,0,0,0
"178","D1C_0H_01_Cell_CP_69_TNF","C","D1","0","TNF",0,4,4,0,0,0
"180","D1C_0H_01_Cell_CP_7_TNF","C","D1","0","TNF",0,1,1,0,0,0
"181","D1C_0H_01_Cell_CP_71_IFN","C","D1","0","IFN",0,0,0,7,0,7
"182","D1C_0H_01_Cell_CP_71_TNF","C","D1","0","TNF",1,4,5,0,0,0
"185","D1C_0H_01_Cell_CP_73_IFN","C","D1","0","IFN",1,0,1,0,0,0
"186","D1C_0H_01_Cell_CP_73_TNF","C","D1","0","TNF",5,11,16,0,0,0
"187","D1C_0H_01_Cell_CP_74_IFN","C","D1","0","IFN",0,1,1,0,0,0
"191","D1C_0H_01_Cell_CP_76_IFN","C","D1","0","IFN",1,2,3,0,0,0
"192","D1C_0H_01_Cell_CP_76_TNF","C","D1","0","TNF",2,6,8,0,0,0
"194","D1C_0H_01_Cell_CP_77_TNF","C","D1","0","TNF",3,2,5,0,0,0
"196","D1C_0H_01_Cell_CP_78_TNF","C","D1","0","TNF",2,1,3,0,0,0
"197","D1C_0H_01_Cell_CP_79_IFN","C","D1","0","IFN",1,3,4,0,0,0
"199","D1C_0H_01_Cell_CP_8_IFN","C","D1","0","IFN",0,1,1,0,0,0
"200","D1C_0H_01_Cell_CP_8_TNF","C","D1","0","TNF",0,2,2,0,0,0
"201","D1C_0H_01_Cell_CP_80_IFN","C","D1","0","IFN",0,1,1,0,0,0
"202","D1C_0H_01_Cell_CP_80_TNF","C","D1","0","TNF",1,0,1,0,0,0
"203","D1C_0H_01_Cell_CP_81_IFN","C","D1","0","IFN",0,1,1,0,0,0
"206","D1C_0H_01_Cell_CP_82_TNF","C","D1","0","TNF",1,1,2,0,0,0
"209","D1C_0H_01_Cell_CP_86_IFN","C","D1","0","IFN",0,2,2,0,0,0
"210","D1C_0H_01_Cell_CP_86_TNF","C","D1","0","TNF",0,1,1,0,0,0
"211","D1C_0H_01_Cell_CP_87_IFN","C","D1","0","IFN",1,0,1,0,0,0
"214","D1C_0H_01_Cell_CP_88_TNF","C","D1","0","TNF",1,0,1,0,0,0
"215","D1C_0H_01_Cell_CP_89_IFN","C","D1","0","IFN",0,1,1,0,0,0
"218","D1C_0H_01_Cell_CP_9_TNF","C","D1","0","TNF",0,1,1,0,0,0
"220","D1C_0H_01_Cell_CP_90_TNF","C","D1","0","TNF",1,5,6,6,0,6
"223","D1C_0H_01_Cell_CP_92_IFN","C","D1","0","IFN",0,1,1,0,0,0
"224","D1C_0H_01_Cell_CP_92_TNF","C","D1","0","TNF",0,1,1,0,0,0
"226","D1C_0H_01_Cell_CP_93_TNF","C","D1","0","TNF",0,3,3,0,0,0
"227","D1C_0H_01_Cell_CP_94_IFN","C","D1","0","IFN",1,0,1,0,0,0
"228","D1C_0H_01_Cell_CP_94_TNF","C","D1","0","TNF",0,6,6,0,0,0
"229","D1C_0H_01_Cell_CP_95_IFN","C","D1","0","IFN",0,1,1,0,0,0
"230","D1C_0H_01_Cell_CP_95_TNF","C","D1","0","TNF",0,2,2,0,0,0
"231","D1C_0H_01_Cell_CP_96_IFN","C","D1","0","IFN",1,0,1,0,0,0
"232","D1C_0H_01_Cell_CP_96_TNF","C","D1","0","TNF",2,1,3,0,0,0
"233","D1C_0H_01_Cell_CP_98_IFN","C","D1","0","IFN",1,0,1,4,0,4
"234","D1C_0H_01_Cell_CP_98_TNF","C","D1","0","TNF",0,2,2,0,0,0
"235","D1C_0H_01_Cell_CP_99_IFN","C","D1","0","IFN",0,1,1,0,0,0
"239","D1C_0H_02_Cell_CP_101_IFN","C","D1","0","IFN",0,1,1,0,0,0
"242","D1C_0H_02_Cell_CP_102_TNF","C","D1","0","TNF",0,1,1,0,0,0
"243","D1C_0H_02_Cell_CP_103_IFN","C","D1","0","IFN",0,1,1,0,0,0
"244","D1C_0H_02_Cell_CP_103_TNF","C","D1","0","TNF",0,1,1,0,0,0
"245","D1C_0H_02_Cell_CP_104_IFN","C","D1","0","IFN",2,14,16,0,0,0
"246","D1C_0H_02_Cell_CP_104_TNF","C","D1","0","TNF",3,11,14,0,0,0
"249","D1C_0H_02_Cell_CP_106_IFN","C","D1","0","IFN",11,14,25,0,0,0
"250","D1C_0H_02_Cell_CP_106_TNF","C","D1","0","TNF",2,4,6,0,0,0
"251","D1C_0H_02_Cell_CP_107_IFN","C","D1","0","IFN",0,0,0,4,0,4
"252","D1C_0H_02_Cell_CP_107_TNF","C","D1","0","TNF",1,1,2,0,0,0
"253","D1C_0H_02_Cell_CP_108_IFN","C","D1","0","IFN",0,6,6,0,0,0
"254","D1C_0H_02_Cell_CP_108_TNF","C","D1","0","TNF",23,9,32,0,0,0
"255","D1C_0H_02_Cell_CP_109_IFN","C","D1","0","IFN",0,3,3,3,0,3
"256","D1C_0H_02_Cell_CP_109_TNF","C","D1","0","TNF",0,1,1,0,0,0
"259","D1C_0H_02_Cell_CP_110_IFN","C","D1","0","IFN",1,3,4,0,0,0
"260","D1C_0H_02_Cell_CP_110_TNF","C","D1","0","TNF",0,10,10,0,0,0
"261","D1C_0H_02_Cell_CP_111_IFN","C","D1","0","IFN",0,5,5,0,0,0
"262","D1C_0H_02_Cell_CP_111_TNF","C","D1","0","TNF",0,1,1,0,0,0
"266","D1C_0H_02_Cell_CP_113_TNF","C","D1","0","TNF",0,1,1,0,0,0
"269","D1C_0H_02_Cell_CP_117_IFN","C","D1","0","IFN",5,6,11,0,0,0
"270","D1C_0H_02_Cell_CP_117_TNF","C","D1","0","TNF",3,4,7,0,0,0
"273","D1C_0H_02_Cell_CP_119_IFN","C","D1","0","IFN",0,2,2,0,0,0
"274","D1C_0H_02_Cell_CP_119_TNF","C","D1","0","TNF",3,1,4,0,0,0
"275","D1C_0H_02_Cell_CP_12_IFN","C","D1","0","IFN",2,0,2,7,0,7
"276","D1C_0H_02_Cell_CP_12_TNF","C","D1","0","TNF",0,2,2,0,0,0
